po_id,po_number,po_date,vendor_id,vendor_number,material_id,material_number,quantity,unit_of_measure,net_price,currency,delivery_date,plant,storage_location,status,gr_quantity,gr_date,invoice_status
1,PO-30001,2024-01-15,1,VND-20001,1,MAT-10001,500.00,KG,12.50,USD,2024-02-15,PL01,SL01,COMPLETED,500.00,2024-02-14,INVOICED
2,PO-30002,2024-01-18,2,VND-20002,2,MAT-10002,300.00,KG,18.75,USD,2024-02-20,PL01,SL01,COMPLETED,300.00,2024-02-19,INVOICED
3,PO-30003,2024-01-20,3,VND-20003,5,MAT-10005,10.00,PC,450.00,USD,2024-02-28,PL02,SL01,COMPLETED,10.00,2024-02-27,INVOICED
4,PO-30004,2024-01-22,4,VND-20004,4,MAT-10004,5000.00,PC,0.35,USD,2024-02-10,PL01,SL03,COMPLETED,5000.00,2024-02-09,INVOICED
5,PO-30005,2024-02-01,5,VND-20005,5,MAT-10005,15.00,PC,450.00,USD,2024-03-10,PL02,SL01,GR_DONE,15.00,2024-03-08,PENDING
6,PO-30006,2024-02-05,6,VND-20006,6,MAT-10006,1000.00,M,5.80,USD,2024-03-15,PL01,SL02,GR_DONE,1000.00,2024-03-14,PENDING
7,PO-30007,2024-02-10,7,VND-20007,7,MAT-10007,100.00,PC,22.00,USD,2024-03-20,PL01,SL04,OPEN,0.00,,PENDING
8,PO-30008,2024-02-12,8,VND-20008,8,MAT-10008,200.00,KG,3.90,USD,2024-03-18,PL01,SL01,OPEN,0.00,,PENDING
9,PO-30009,2024-02-14,9,VND-20009,9,MAT-10009,150.00,PC,12.00,USD,2024-03-25,PL02,SL02,OPEN,0.00,,PENDING
10,PO-30010,2024-02-15,10,VND-20010,10,MAT-10010,2000.00,M,2.15,USD,2024-03-28,PL01,SL02,OPEN,0.00,,PENDING
